appid,name,price,positive_ratings,negative_ratings,owners,average_playtime,is_multiplayer,description_length,tag_count,addictive_tag_count,addiction_level
10,Counter-Strike,7.19,124534,3339,,17612,0,315,20,8,High
20,Team Fortress Classic,3.99,3318,633,,277,0,334,20,7,Medium
30,Day of Defeat,3.99,3416,398,,187,0,309,16,5,Medium
40,Deathmatch Classic,3.99,1273,267,,258,0,243,8,4,Medium
50,Half-Life: Opposing Force,3.99,5250,288,,624,0,312,20,4,High
60,Ricochet,3.99,2758,684,,175,0,169,17,4,Medium
70,Half-Life,7.19,27755,1100,,1300,0,317,20,4,High
80,Counter-Strike: Condition Zero,7.19,12120,1439,,427,0,300,20,9,High
130,Half-Life: Blue Shift,3.99,3822,420,,361,0,259,18,3,High
220,Half-Life 2,7.19,67902,2419,,691,0,339,20,4,High
240,Counter-Strike: Source,7.19,76640,3497,,6842,1,77,20,9,High
280,Half-Life: Source,0.0,3767,1053,,190,0,313,20,4,Medium
300,Day of Defeat: Source,7.19,10489,1210,,1356,1,57,20,6,High
320,Half-Life 2: Deathmatch,3.99,6020,787,,311,0,212,14,6,High
340,Half-Life 2: Lost Coast,0.0,5783,1020,,46,0,184,20,4,Low
360,Half-Life Deathmatch: Source,0.0,1362,473,,102,0,194,8,4,Low
380,Half-Life 2: Episode One,5.79,7908,517,,281,0,284,20,3,Medium
400,Portal,7.19,51801,1080,,288,0,229,20,3,Medium
420,Half-Life 2: Episode Two,5.79,13902,696,,354,0,296,20,4,High
440,Team Fortress 2,0.0,515879,34036,,8495,1,169,20,7,High
500,Left 4 Dead,7.19,17951,948,,897,0,259,20,8,High
550,Left 4 Dead 2,7.19,251789,8418,,1615,0,330,20,7,High
570,Dota 2,0.0,863507,142079,,23944,0,319,20,8,High
620,Portal 2,7.19,138220,1891,,1102,0,125,20,6,High
630,Alien Swarm,0.0,17435,941,,371,0,72,20,7,High
730,Counter-Strike: Global Offensive,0.0,2644404,402313,,22494,0,275,20,9,High
1200,Red Orchestra: Ostfront 41-45,3.99,1562,223,,232,0,338,16,5,Medium
1250,Killing Floor,14.99,53710,2649,,1328,1,111,20,7,High
1500,Darwinia,7.19,472,158,,182,0,272,8,2,Medium
1510,Uplink,6.99,1602,152,,65,0,258,18,2,Low
